epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2040.07,0.51891,0.81926,0.89039,0.67065,0.70922,0.70398,0.64824,0.40013,1.01576,0.83677,0.0005941,0.0005941,0.0005941
43,2088.01,0.51974,0.8511,0.88319,0.6702,0.70883,0.68763,0.64277,0.41257,0.99336,0.83154,0.0005842,0.0005842,0.0005842
44,2135.3,0.51528,0.80451,0.89214,0.67198,0.70893,0.68821,0.62952,0.4414,1.0577,0.84569,0.0005743,0.0005743,0.0005743
45,2183.87,0.49146,0.7926,0.88733,0.67157,0.70885,0.69167,0.65245,0.40114,1.05534,0.8339,0.0005644,0.0005644,0.0005644
46,2231.61,0.47854,0.82201,0.88171,0.66837,0.71157,0.68717,0.66275,0.35871,1.01448,0.83294,0.0005545,0.0005545,0.0005545
47,2279.82,0.47737,0.82025,0.87383,0.67098,0.70905,0.68592,0.65364,0.32735,1.00402,0.82587,0.0005446,0.0005446,0.0005446
48,2327.21,0.47973,0.82562,0.87914,0.67289,0.70843,0.70354,0.66931,0.33321,1.04898,0.8341,0.0005347,0.0005347,0.0005347
49,2374.53,0.48842,0.84277,0.87945,0.66642,0.71021,0.68517,0.63214,0.37275,1.00209,0.82669,0.0005248,0.0005248,0.0005248
50,2422.67,0.47308,0.79344,0.87487,0.67275,0.7089,0.68676,0.67317,0.30912,1.0668,0.83072,0.0005149,0.0005149,0.0005149
51,2470.82,0.48282,0.81512,0.8839,0.6727,0.70861,0.6703,0.64044,0.33651,1.04618,0.82439,0.000505,0.000505,0.000505
52,2518.76,0.46317,0.81765,0.88881,0.66909,0.70956,0.68522,0.65875,0.33482,1.02587,0.82798,0.0004951,0.0004951,0.0004951
53,2566.36,0.44437,0.77059,0.86916,0.67359,0.70982,0.68713,0.6487,0.36154,1.01242,0.82053,0.0004852,0.0004852,0.0004852
54,2613.79,0.45263,0.80262,0.87123,0.67217,0.71857,0.68264,0.65449,0.32908,1.02272,0.82053,0.0004753,0.0004753,0.0004753
